"N" "U" "P" "E" "C" "B" "CAU"
"1" -0.00510136398773978 0.179155038669705 4 0.206404615659267 0.451310939899515 28 0.545342151003899
"2" 1.49012569706868 0.115472525823861 3 0.955285625634658 0.344125436861158 29 6.25505644923061
"3" 1.36182230188258 0.175916691776365 0 0.440754247829318 3.04027163192105 32 0.00869202669681464
"4" -0.441065149620213 0.745575425215065 2 0.140000565718803 0.711718763558916 31 0.0211639947584536
"5" -0.569602976615223 0.35309657198377 5 0.303550011445117 1.15229510141267 30 -11.5090209297676
"6" 0.917993859151366 0.792055460391566 0 0.26117699371481 1.38855884372762 25 -2.33087375156612
"7" 0.234799453706266 0.911144365090877 4 1.67662461652401 1.00256083263993 33 0.147706220531258
"8" -0.110650031379969 0.124415022553876 4 0.992945930878532 4.4080522144799 29 -7.38648421956872
"9" -1.33652634886466 0.640763179399073 5 1.83455819628181 0.168667894876312 30 -1.78680401418732
"10" -0.474849602605043 0.270757649792358 2 0.0633963174186647 6.71308471512294 26 0.671619110701717
"11" 1.01794987874306 0.883684769505635 4 0.602798957843333 0.644359456171665 30 4.20153183064641
"12" 0.805607541218474 0.655575243057683 3 0.0728023985555924 1.05837475008382 31 1.83479732448606
"13" -0.795530878767417 0.790734682232141 2 5.12357054807642 1.22410674166602 34 1.99839269538538
"14" 1.18728256018666 0.315412664553151 5 0.583882623817772 4.64999786615278 25 27.0523010948064
"15" 0.670987865390701 0.883088854374364 5 1.20090690704553 0.733112378735814 22 0.378297133484624
"16" -0.231244457263585 0.38853144319728 4 2.89682932181244 0.230690840781524 26 0.695880604448147
"17" 1.09337349079146 0.674118126276881 5 3.04652783257847 1.30910792367341 30 0.97166256262121
"18" -0.0417442492086932 0.658849288709462 7 0.158356238622218 10.1652804551584 26 0.174639557521825
"19" -1.16489578902461 0.312170689925551 1 0.954470870974374 0.74615718046335 32 -1.96252730879207
"20" -0.685186662743443 0.403380829375237 2 0.0892859688028693 0.404904687197168 28 -0.189892684358863
"21" -1.73447049490664 0.565715081989765 3 0.846447447272849 2.80013156811845 30 3.097988243428
"22" 0.679816444465785 0.308479733066633 2 0.225473821628839 1.89500645718829 32 2.33413644310872
"23" -0.853706074540797 0.293993149418384 2 0.0821672398597002 5.80585050957886 31 1.39501250878994
"24" 0.737650089842197 0.533930321456864 2 0.163460090756416 0.13762109665167 30 1.35537162030004
"25" -0.715351277975929 0.892247402574867 2 2.26652028957818 0.665576112660493 31 -0.491111818527113
"26" -0.812085790046654 0.00297332229092717 8 0.826151641043735 4.65370940458011 29 -0.204205123429833
"27" -0.803496917558103 0.635150269605219 6 0.169051596429199 7.75732685413843 28 1.60729967135472
"28" 0.384922513686075 0.268986913142726 2 4.1807191512036 2.02478280683086 30 -1.65455524861964
"29" 0.455990400758568 0.570609156275168 4 0.330958186648786 0.4092818796446 34 -0.840976223497707
"30" 0.0180791111046314 0.278374906862155 3 0.0999281456903826 0.722189705566348 27 2.59730203036238
"31" 1.11327117063283 0.00320127466693521 1 0.689818788785487 1.06881360119911 31 -2.3506672967035
"32" -1.14471003233983 0.560106885386631 2 1.1277965735224 0.613736573677119 29 -0.667860006722511
"33" -0.198101679506589 0.120081502944231 3 0.170037615797128 3.19497612491705 31 -2.80905137937596
"34" -1.27299652579755 0.362784708617255 2 2.62145162547443 0.791958539955716 29 -1.24879034038567
"35" 1.36793062805536 0.659594315104187 2 0.638140123803169 2.17985830459564 28 -4.33567577367898
"36" -2.19687461567447 0.388671908993274 3 2.86838750524407 0.222671643006627 27 -0.201260347266637
"37" 0.998709202804497 0.453800472430885 5 0.516068917699158 1.71932039847067 27 0.580258985056248
"38" -0.136934488861316 0.739008462056518 5 2.04250661834123 1.39341899842374 25 -0.751839465218003
"39" 1.48200503278085 0.482830781722441 1 1.10237843073429 1.44186879984455 27 2.34262512554159
"40" 0.582957284985901 0.223164883442223 6 2.33280518452141 4.87079109955176 29 0.448920464468087
