"Id","Sales"
1,4856.42985099769
2,8118.50111045233
3,9780.6986146365
4,6664.35491632082
5,7179.38850204967
6,5894.45206620865
7,8715.98318192759
8,8382.8953672743
9,5876.70788062987
10,6121.08996084217
11,7384.92753532512
12,8681.06799245613
13,7315.37284820589
14,8691.59472227052
15,6173.48720998006
16,5222.31005494802
17,6110.35391695034
18,9926.13841896315
19,11594.1266079359
20,10343.9710323849
21,8431.37587894381
22,5226.1466519866
23,6342.72358145853
24,4971.9876013712
25,8742.17050861837
26,11073.3932781797
27,9639.41759237834
28,6491.81963471831
29,5623.46989698827
30,5080.30950817893
31,6026.92670234689
32,10569.0464119434
33,7528.46706567697
34,5801.5425721631
35,6089.70920982412
36,8102.6040558258
37,4059.91844115018
38,8023.58370017172
39,4854.78799849022
40,7127.067874637
41,7646.14756401483
42,5906.95683625806
43,7796.0618471189
44,6954.73159555027
45,5352.75176464412
46,7185.35976095538
47,7688.01407913121
48,11334.7207939682
49,6390.45777261786
50,8868.9139198365
51,7370.82981903591
52,9758.61227219271
53,7098.76242746235
54,9825.11816127078
55,5388.19573863001
56,5293.90987229366
57,6606.97598173249
58,6375.35641746172
59,9804.25734080972
60,8261.77239304044
61,5884.8005550766
62,8167.30787604173
63,7114.67664350321
64,10108.0675322441
65,4224.29368531741
66,14304.0358694669
67,5423.15759304834
68,6454.04015521419
69,9199.58783526672
70,5746.88290751775
71,6600.20121053034
72,6870.50234304452
73,8131.7256029429
74,5847.45241751861
75,5731.94557599703
76,8320.7083391387
77,7937.38770696442
78,7953.74063155774
79,5276.82550976218
80,7566.67008232854
81,11689.1803259014
82,6937.23387627948
83,4950.15334503199
84,7457.77928718987
85,6308.4490158347
86,7080.84259372882
87,7735.13131801574
88,4371.28158611321
89,8729.5512435365
90,6598.62916236811
91,7710.97117235464
92,7176.48325485528
93,5049.35290588976
94,6534.81795136079
95,5905.81602744662
96,8460.25086717948
97,9716.20586989004
98,5515.64024427344
99,5399.24374651599
100,6846.58869785761
101,6413.17173175366
102,6505.34277853034
103,8648.72009661602
104,7249.4553609228
105,8156.72690207537
106,5738.83423075466
107,4981.3392593261
108,7087.15786822749
109,8395.59989843067
110,8994.58514825372
111,8874.48902531403
112,8884.07067836503
113,6304.48385409764
114,9401.99646332408
115,6416.61853663393
116,8368.13365400008
117,9780.0239187024
118,7329.90710316601
119,10786.8177842973
120,8685.80464817569
121,8576.95426962841
122,6378.29576171256
123,7760.2921806963
124,8575.15749668072
125,6949.88827248414
126,4599.97402940687
127,5978.88466945559
128,8432.30583915835
129,7093.04433224392
130,5327.33066991772
131,9346.65236888478
132,7043.59155360434
133,6107.77185846751
134,6277.11572358284
135,5790.48031188079
136,7817.69381220491
137,7779.16424682565
138,7433.55882509526
139,5760.34687035546
140,5412.90264704983
141,7160.87372506626
142,4364.97204128608
143,6804.56321213686
144,5628.14322504307
145,9578.20934383519
146,8133.55614313943
147,6875.69391086198
148,10547.3685533383
149,5760.10851128394
150,5519.84829032289
151,11421.1332412425
152,7644.56410848
153,8504.37678285559
154,8216.70952876195
155,5682.94344605391
156,6705.74624389269
157,5912.19576107393
158,8171.07979466398
159,12270.1022343929
160,6256.33027781611
161,3873.40514118826
162,5407.4426748687
163,9244.73243009203
164,9660.00611666098
165,6915.61666656866
166,7816.31034130342
167,5097.18228557051
168,5689.78796649504
169,3561.0965431007
170,5383.97333446143
171,6380.30232406642
172,7485.84851730936
173,7697.04204506251
174,6859.7679542626
175,8556.5630976733
176,9566.65966876019
177,8349.36537072434
178,5631.94854635636
